prompt_id,split_id,partition
3,0,train
23,0,train
4,0,train
24,0,train
5,0,train
25,0,train
6,0,train
26,0,train
7,0,train
27,0,train
8,0,train
28,0,train
9,0,train
29,0,train
10,0,train
30,0,train
11,0,train
31,0,train
12,0,train
32,0,train
13,0,train
33,0,train
14,0,train
34,0,train
15,0,train
35,0,train
17,0,train
37,0,train
19,0,train
39,0,train
20,0,train
40,0,train
1,0,test
21,0,test
2,0,test
22,0,test
16,0,test
36,0,test
18,0,test
38,0,test
1,1,train
21,1,train
2,1,train
22,1,train
3,1,train
23,1,train
4,1,train
24,1,train
5,1,train
25,1,train
7,1,train
27,1,train
8,1,train
28,1,train
9,1,train
29,1,train
10,1,train
30,1,train
11,1,train
31,1,train
12,1,train
32,1,train
13,1,train
33,1,train
14,1,train
34,1,train
15,1,train
35,1,train
18,1,train
38,1,train
19,1,train
39,1,train
6,1,test
26,1,test
16,1,test
36,1,test
17,1,test
37,1,test
20,1,test
40,1,test
2,2,train
22,2,train
4,2,train
24,2,train
5,2,train
25,2,train
6,2,train
26,2,train
7,2,train
27,2,train
9,2,train
29,2,train
10,2,train
30,2,train
12,2,train
32,2,train
13,2,train
33,2,train
14,2,train
34,2,train
15,2,train
35,2,train
16,2,train
36,2,train
17,2,train
37,2,train
18,2,train
38,2,train
19,2,train
39,2,train
20,2,train
40,2,train
1,2,test
21,2,test
3,2,test
23,2,test
8,2,test
28,2,test
11,2,test
31,2,test
2,3,train
22,3,train
3,3,train
23,3,train
4,3,train
24,3,train
5,3,train
25,3,train
6,3,train
26,3,train
8,3,train
28,3,train
10,3,train
30,3,train
11,3,train
31,3,train
12,3,train
32,3,train
13,3,train
33,3,train
14,3,train
34,3,train
15,3,train
35,3,train
16,3,train
36,3,train
17,3,train
37,3,train
18,3,train
38,3,train
20,3,train
40,3,train
1,3,test
21,3,test
7,3,test
27,3,test
9,3,test
29,3,test
19,3,test
39,3,test
1,4,train
21,4,train
2,4,train
22,4,train
4,4,train
24,4,train
5,4,train
25,4,train
7,4,train
27,4,train
8,4,train
28,4,train
9,4,train
29,4,train
10,4,train
30,4,train
12,4,train
32,4,train
13,4,train
33,4,train
14,4,train
34,4,train
15,4,train
35,4,train
16,4,train
36,4,train
17,4,train
37,4,train
18,4,train
38,4,train
19,4,train
39,4,train
3,4,test
23,4,test
6,4,test
26,4,test
11,4,test
31,4,test
20,4,test
40,4,test
1,5,train
21,5,train
3,5,train
23,5,train
7,5,train
27,5,train
8,5,train
28,5,train
9,5,train
29,5,train
10,5,train
30,5,train
11,5,train
31,5,train
12,5,train
32,5,train
13,5,train
33,5,train
14,5,train
34,5,train
15,5,train
35,5,train
16,5,train
36,5,train
17,5,train
37,5,train
18,5,train
38,5,train
19,5,train
39,5,train
20,5,train
40,5,train
2,5,test
22,5,test
4,5,test
24,5,test
5,5,test
25,5,test
6,5,test
26,5,test
1,6,train
21,6,train
2,6,train
22,6,train
3,6,train
23,6,train
4,6,train
24,6,train
5,6,train
25,6,train
6,6,train
26,6,train
7,6,train
27,6,train
8,6,train
28,6,train
9,6,train
29,6,train
10,6,train
30,6,train
12,6,train
32,6,train
15,6,train
35,6,train
16,6,train
36,6,train
18,6,train
38,6,train
19,6,train
39,6,train
20,6,train
40,6,train
11,6,test
31,6,test
13,6,test
33,6,test
14,6,test
34,6,test
17,6,test
37,6,test
1,7,train
21,7,train
3,7,train
23,7,train
4,7,train
24,7,train
5,7,train
25,7,train
7,7,train
27,7,train
8,7,train
28,7,train
9,7,train
29,7,train
10,7,train
30,7,train
11,7,train
31,7,train
12,7,train
32,7,train
13,7,train
33,7,train
14,7,train
34,7,train
15,7,train
35,7,train
16,7,train
36,7,train
17,7,train
37,7,train
20,7,train
40,7,train
2,7,test
22,7,test
6,7,test
26,7,test
18,7,test
38,7,test
19,7,test
39,7,test
1,8,train
21,8,train
2,8,train
22,8,train
3,8,train
23,8,train
4,8,train
24,8,train
5,8,train
25,8,train
6,8,train
26,8,train
7,8,train
27,8,train
9,8,train
29,8,train
10,8,train
30,8,train
11,8,train
31,8,train
13,8,train
33,8,train
15,8,train
35,8,train
16,8,train
36,8,train
17,8,train
37,8,train
19,8,train
39,8,train
20,8,train
40,8,train
8,8,test
28,8,test
12,8,test
32,8,test
14,8,test
34,8,test
18,8,test
38,8,test
1,9,train
21,9,train
3,9,train
23,9,train
4,9,train
24,9,train
6,9,train
26,9,train
7,9,train
27,9,train
8,9,train
28,9,train
9,9,train
29,9,train
11,9,train
31,9,train
12,9,train
32,9,train
13,9,train
33,9,train
14,9,train
34,9,train
15,9,train
35,9,train
17,9,train
37,9,train
18,9,train
38,9,train
19,9,train
39,9,train
20,9,train
40,9,train
2,9,test
22,9,test
5,9,test
25,9,test
10,9,test
30,9,test
16,9,test
36,9,test
1,10,train
21,10,train
2,10,train
22,10,train
4,10,train
24,10,train
6,10,train
26,10,train
8,10,train
28,10,train
9,10,train
29,10,train
10,10,train
30,10,train
11,10,train
31,10,train
12,10,train
32,10,train
13,10,train
33,10,train
14,10,train
34,10,train
15,10,train
35,10,train
16,10,train
36,10,train
18,10,train
38,10,train
19,10,train
39,10,train
20,10,train
40,10,train
3,10,test
23,10,test
5,10,test
25,10,test
7,10,test
27,10,test
17,10,test
37,10,test
1,11,train
21,11,train
2,11,train
22,11,train
3,11,train
23,11,train
5,11,train
25,11,train
6,11,train
26,11,train
7,11,train
27,11,train
8,11,train
28,11,train
9,11,train
29,11,train
11,11,train
31,11,train
12,11,train
32,11,train
13,11,train
33,11,train
14,11,train
34,11,train
16,11,train
36,11,train
17,11,train
37,11,train
18,11,train
38,11,train
20,11,train
40,11,train
4,11,test
24,11,test
10,11,test
30,11,test
15,11,test
35,11,test
19,11,test
39,11,test
1,12,train
21,12,train
2,12,train
22,12,train
3,12,train
23,12,train
4,12,train
24,12,train
5,12,train
25,12,train
6,12,train
26,12,train
8,12,train
28,12,train
11,12,train
31,12,train
12,12,train
32,12,train
13,12,train
33,12,train
14,12,train
34,12,train
16,12,train
36,12,train
17,12,train
37,12,train
18,12,train
38,12,train
19,12,train
39,12,train
20,12,train
40,12,train
7,12,test
27,12,test
9,12,test
29,12,test
10,12,test
30,12,test
15,12,test
35,12,test
1,13,train
21,13,train
2,13,train
22,13,train
3,13,train
23,13,train
4,13,train
24,13,train
7,13,train
27,13,train
8,13,train
28,13,train
9,13,train
29,13,train
10,13,train
30,13,train
11,13,train
31,13,train
13,13,train
33,13,train
14,13,train
34,13,train
15,13,train
35,13,train
16,13,train
36,13,train
17,13,train
37,13,train
18,13,train
38,13,train
19,13,train
39,13,train
5,13,test
25,13,test
6,13,test
26,13,test
12,13,test
32,13,test
20,13,test
40,13,test
1,14,train
21,14,train
2,14,train
22,14,train
3,14,train
23,14,train
4,14,train
24,14,train
5,14,train
25,14,train
6,14,train
26,14,train
7,14,train
27,14,train
8,14,train
28,14,train
9,14,train
29,14,train
10,14,train
30,14,train
11,14,train
31,14,train
12,14,train
32,14,train
13,14,train
33,14,train
16,14,train
36,14,train
18,14,train
38,14,train
19,14,train
39,14,train
14,14,test
34,14,test
15,14,test
35,14,test
17,14,test
37,14,test
20,14,test
40,14,test
1,15,train
21,15,train
3,15,train
23,15,train
4,15,train
24,15,train
6,15,train
26,15,train
8,15,train
28,15,train
9,15,train
29,15,train
10,15,train
30,15,train
11,15,train
31,15,train
13,15,train
33,15,train
14,15,train
34,15,train
15,15,train
35,15,train
16,15,train
36,15,train
17,15,train
37,15,train
18,15,train
38,15,train
19,15,train
39,15,train
20,15,train
40,15,train
2,15,test
22,15,test
5,15,test
25,15,test
7,15,test
27,15,test
12,15,test
32,15,test
1,16,train
21,16,train
2,16,train
22,16,train
3,16,train
23,16,train
4,16,train
24,16,train
5,16,train
25,16,train
6,16,train
26,16,train
9,16,train
29,16,train
10,16,train
30,16,train
11,16,train
31,16,train
12,16,train
32,16,train
14,16,train
34,16,train
16,16,train
36,16,train
17,16,train
37,16,train
18,16,train
38,16,train
19,16,train
39,16,train
20,16,train
40,16,train
7,16,test
27,16,test
8,16,test
28,16,test
13,16,test
33,16,test
